Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	UL_1 Spectral Count	UL_2 Spectral Count	UL_3 Spectral Count	rGAL_1 Spectral Count	rGAL_2 Spectral Count	rGAL_3 Spectral Count	UL_1 Unique Spectral Count	UL_2 Unique Spectral Count	UL_3 Unique Spectral Count	rGAL_1 Unique Spectral Count	rGAL_2 Unique Spectral Count	rGAL_3 Unique Spectral Count	UL_1 Total Spectral Count	UL_2 Total Spectral Count	UL_3 Total Spectral Count	rGAL_1 Total Spectral Count	rGAL_2 Total Spectral Count	rGAL_3 Total Spectral Count	UL_1 Intensity	UL_2 Intensity	UL_3 Intensity	rGAL_1 Intensity	rGAL_2 Intensity	rGAL_3 Intensity	UL_1 MaxLFQ Intensity	UL_2 MaxLFQ Intensity	UL_3 MaxLFQ Intensity	rGAL_1 MaxLFQ Intensity	rGAL_2 MaxLFQ Intensity	rGAL_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P31944|CASPE_HUMAN	P31944	CASPE_HUMAN	CASP14	242	Homo sapiens	1:Experimental evidence at protein level	Caspase-14	1.0	0.9963	4	15	15	15	1	5	1	2	1	5	1	5	1	2	1	5	1	5	1	2	1	5	50442.98	166661.2	107641.25	111167.84	66382.29	161229.3	51209.02	85029.19	109275.914	76738.6	67390.38	53297.13	
sp|P32119|PRDX2_HUMAN	P32119	PRDX2_HUMAN	PRDX2	198	Homo sapiens	1:Experimental evidence at protein level	Peroxiredoxin-2	0.9628	0.9952	2	8	8	16	1	2	2	1	1	1	1	2	2	1	1	1	2	3	3	3	2	3	38747.457	74398.17	77592.36	52086.58	57817.086	52071.91	38747.457	74398.17	77592.36	52086.58	57817.086	52071.91	
sp|P32969|RL9_HUMAN	P32969	RL9_HUMAN	RPL9	192	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein uL6	1.0	0.999	2	5	5	5	0	0	1	1	1	2	0	0	1	1	1	2	0	0	1	1	1	2	0.0	0.0	14501.275	28896.203	19060.91	88700.79	0.0	0.0	11002.055	38087.473	25123.781	42711.84	
sp|P35249|RFC4_HUMAN	P35249	RFC4_HUMAN	RFC4	363	Homo sapiens	1:Experimental evidence at protein level	Replication factor C subunit 4	1.0	0.999	7	53	53	53	10	7	8	7	10	11	10	7	8	7	10	11	10	7	8	7	10	11	137676.11	115096.16	149801.17	46426.7	205349.53	186686.62	60264.625	54025.812	59965.82	44404.625	57649.68	50580.15	
sp|P35250|RFC2_HUMAN	P35250	RFC2_HUMAN	RFC2	354	Homo sapiens	1:Experimental evidence at protein level	Replication factor C subunit 2	1.0	0.999	5	17	17	17	3	3	2	0	4	5	3	3	2	0	4	5	3	3	2	0	4	5	86546.18	18619.137	48382.008	0.0	95499.6	140337.56	30381.006	35959.395	30426.654	0.0	43747.508	38519.668	
sp|P35251|RFC1_HUMAN	P35251	RFC1_HUMAN	RFC1	1148	Homo sapiens	1:Experimental evidence at protein level	Replication factor C subunit 1	1.0	0.999	16	87	87	87	14	10	14	9	11	29	14	10	14	9	11	29	14	10	14	9	11	29	353917.03	332775.44	317866.75	261030.47	278747.53	367995.16	59708.082	68066.984	71173.82	69155.74	67122.766	55946.438	
sp|P35268|RL22_HUMAN	P35268	RL22_HUMAN	RPL22	128	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL22	1.0	0.999	6	38	37	38	5	5	6	8	5	9	5	5	6	7	5	9	5	5	6	8	5	9	475011.56	382518.12	394203.62	786488.3	638922.0	710863.0	230280.84	185104.38	195884.56	360470.38	310562.0	318455.4	
sp|P35269|T2FA_HUMAN	P35269	T2FA_HUMAN	GTF2F1	517	Homo sapiens	1:Experimental evidence at protein level	General transcription factor IIF subunit 1	0.9814	0.999	1	7	7	7	2	1	1	1	0	2	2	1	1	1	0	2	2	1	1	1	0	2	22615.71	33274.09	23265.498	21673.607	0.0	20084.693	22615.71	33274.09	23265.498	21673.607	0.0	20084.693	
sp|P35527|K1C9_HUMAN	P35527	K1C9_HUMAN	KRT9	623	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 9	1.0	0.999	36	1067	1067	1087	200	179	225	148	167	148	200	179	225	148	167	148	204	181	234	149	169	150	1.6461903E7	1.995031E7	2.2344512E7	1.6376401E7	1.8484486E7	1.4791207E7	3078887.8	3398407.2	3948787.0	2956500.8	3444269.0	2519463.0	
sp|P35579|MYH9_HUMAN	P35579	MYH9_HUMAN	MYH9	1960	Homo sapiens	1:Experimental evidence at protein level	Myosin-9	1.0	0.999	77	651	573	651	111	104	113	89	95	139	97	90	97	79	84	126	111	104	113	89	95	139	1.805985E7	2530219.8	1.2690026E7	2412249.0	2567446.0	3.4626412E7	2202981.0	1606968.6	1743436.5	1760774.6	1821312.9	2153058.2	
sp|P35580|MYH10_HUMAN	P35580	MYH10_HUMAN	MYH10	1976	Homo sapiens	1:Experimental evidence at protein level	Myosin-10	1.0	0.9987	14	22	21	51	10	3	3	2	2	2	9	3	3	2	2	2	15	9	9	4	7	7	155724.52	66279.65	36186.812	45202.652	35100.617	37165.91	29659.658	28550.809	21727.314	27403.34	20797.99	20743.553	
sp|P35659|DEK_HUMAN	P35659	DEK_HUMAN	DEK	375	Homo sapiens	1:Experimental evidence at protein level	Protein DEK	1.0	0.9989	9	45	45	45	5	5	10	8	7	10	5	5	10	8	7	10	5	5	10	8	7	10	249048.86	297244.78	346543.62	435510.03	390366.47	415800.28	130383.99	117246.68	125751.77	168862.78	148028.17	141531.6	
sp|P35908|K22E_HUMAN	P35908	K22E_HUMAN	KRT2	639	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 2 epidermal	1.0	0.999	50	967	810	1074	168	152	191	127	156	173	143	133	155	97	134	148	184	168	216	143	169	194	1.2548285E7	1.1733239E7	1.5573467E7	1.0455992E7	1.3865742E7	1.1692536E7	1433776.6	1431786.2	1879085.9	1511739.0	1817565.9	1425395.0	
sp|P36542|ATPG_HUMAN	P36542	ATPG_HUMAN	ATP5F1C	298	Homo sapiens	1:Experimental evidence at protein level	ATP synthase F(1) complex subunit gamma, mitochondrial	1.0	0.999	6	19	19	19	4	4	2	3	3	3	4	4	2	3	3	3	4	4	2	3	3	3	51545.484	95152.54	51385.402	73900.555	86162.234	118576.36	31786.809	46256.406	34052.875	54811.22	64545.47	84373.01	
sp|P36873|PP1G_HUMAN	P36873	PP1G_HUMAN	PPP1CC	323	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	0.9812	0.999	1	4	4	4	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	24859.406	0.0	18833.129	0.0	31232.926	27964.217	24859.406	0.0	18833.129	0.0	31232.926	27964.217	
sp|P36957|ODO2_HUMAN	P36957	ODO2_HUMAN	DLST	453	Homo sapiens	1:Experimental evidence at protein level	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	1.0	0.999	3	14	14	14	3	2	4	2	2	1	3	2	4	2	2	1	3	2	4	2	2	1	144408.12	92053.9	120067.3	116195.44	132770.88	57474.105	84420.664	55423.44	75912.96	70738.305	84056.04	57474.105	
sp|P37108|SRP14_HUMAN	P37108	SRP14_HUMAN	SRP14	136	Homo sapiens	1:Experimental evidence at protein level	Signal recognition particle 14 kDa protein	1.0	0.999	9	52	52	52	8	5	9	9	11	10	8	5	9	9	11	10	8	5	9	9	11	10	412655.84	308476.97	438724.47	484157.8	524835.5	540054.6	260361.47	273588.7	283559.97	271910.97	316882.16	264518.06	
sp|P38646|HSPA9_HUMAN	P38646	HSPA9_HUMAN	HSPA9	679	Homo sapiens	1:Experimental evidence at protein level	Stress-70 protein, mitochondrial	1.0	0.9914	3	23	23	23	4	3	4	2	7	3	4	3	4	2	7	3	4	3	4	2	7	3	100099.28	101858.58	120647.33	102018.88	128129.47	79644.44	80986.02	101858.58	103176.03	102018.88	112025.75	54882.86	
sp|P38919|IF4A3_HUMAN	P38919	IF4A3_HUMAN	EIF4A3	411	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic initiation factor 4A-III	1.0	0.999	1	18	18	18	3	3	3	4	2	3	3	3	3	4	2	3	3	3	3	4	2	3	77797.12	95126.2	82103.24	75237.73	65729.06	43742.547	47509.992	57190.03	50325.4	47057.887	38325.6	27621.242	
sp|P39023|RL3_HUMAN	P39023	RL3_HUMAN	RPL3	403	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein uL3	1.0	0.9964	5	17	16	17	4	3	3	2	0	5	4	3	3	2	0	4	4	3	3	2	0	5	73577.77	72361.96	67914.484	45981.582	0.0	52474.82	43964.426	41490.84	39433.29	41570.586	0.0	37538.242	
sp|P39748|FEN1_HUMAN	P39748	FEN1_HUMAN	FEN1	380	Homo sapiens	1:Experimental evidence at protein level	Flap endonuclease 1	1.0	0.999	4	13	13	13	0	0	0	3	5	5	0	0	0	3	5	5	0	0	0	3	5	5	0.0	0.0	0.0	25445.316	38657.54	46464.02	0.0	0.0	0.0	19102.107	21651.844	22456.834	
sp|P40429|RL13A_HUMAN	P40429	RL13A_HUMAN	RPL13A	203	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein uL13	0.9808	0.999	1	7	7	7	0	1	1	1	1	3	0	1	1	1	1	3	0	1	1	1	1	3	0.0	35294.703	56880.875	71851.71	50398.195	62378.133	0.0	35294.703	56880.875	71851.71	50398.195	62378.133	
sp|P40763|STAT3_HUMAN	P40763	STAT3_HUMAN	STAT3	770	Homo sapiens	1:Experimental evidence at protein level	Signal transducer and activator of transcription 3	0.974	0.9986	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	25043.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P40926|MDHM_HUMAN	P40926	MDHM_HUMAN	MDH2	338	Homo sapiens	1:Experimental evidence at protein level	Malate dehydrogenase, mitochondrial	0.7812	0.9854	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	9381.598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P40937|RFC5_HUMAN	P40937	RFC5_HUMAN	RFC5	340	Homo sapiens	1:Experimental evidence at protein level	Replication factor C subunit 5	1.0	0.9989	3	18	18	18	3	2	3	1	3	6	3	2	3	1	3	6	3	2	3	1	3	6	51301.562	30274.266	50351.43	47949.754	58201.984	68566.01	23442.955	30379.297	28134.904	26860.102	26799.584	30427.885	
sp|P40938|RFC3_HUMAN	P40938	RFC3_HUMAN	RFC3	356	Homo sapiens	1:Experimental evidence at protein level	Replication factor C subunit 3	1.0	0.999	3	31	31	31	4	8	5	4	4	6	4	8	5	4	4	6	4	8	5	4	4	6	85414.305	99859.99	89433.71	96368.47	78957.87	106941.125	63382.492	68316.945	60379.344	68754.29	60182.445	71821.09	
sp|P40939|ECHA_HUMAN	P40939	ECHA_HUMAN	HADHA	763	Homo sapiens	1:Experimental evidence at protein level	Trifunctional enzyme subunit alpha, mitochondrial	1.0	0.999	6	34	34	34	4	4	7	6	7	6	4	4	7	6	7	6	4	4	7	6	7	6	89639.4	107617.07	189048.38	99480.1	124857.125	98167.61	53419.617	52813.87	59450.78	49336.39	57476.73	39747.242	
sp|P41091|IF2G_HUMAN	P41091	IF2G_HUMAN	EIF2S3	472	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 2 subunit 3	1.0	0.999	10	109	18	109	19	15	20	19	14	22	3	2	4	3	3	3	19	15	20	19	14	22	2576593.5	1953196.4	1742356.5	2638515.2	2367793.0	2093271.4	1883715.5	1314372.8	1449302.4	1935816.5	1858234.4	1907672.9	
sp|P41240|CSK_HUMAN	P41240	CSK_HUMAN	CSK	450	Homo sapiens	1:Experimental evidence at protein level	Tyrosine-protein kinase CSK	1.0	0.9984	1	17	17	17	3	4	2	0	4	4	3	4	2	0	4	4	3	4	2	0	4	4	73194.4	50003.492	38466.965	0.0	57243.312	61546.227	43885.992	26096.883	40486.59	0.0	60248.746	34621.246	
sp|P41252|SYIC_HUMAN	P41252	SYIC_HUMAN	IARS1	1262	Homo sapiens	1:Experimental evidence at protein level	Isoleucine--tRNA ligase, cytoplasmic	1.0	0.999	14	81	81	81	14	12	14	13	11	17	14	12	14	13	11	17	14	12	14	13	11	17	426353.0	289597.06	325844.25	305267.4	301925.8	427926.9	82797.766	63120.855	66894.52	80846.555	70012.54	87810.86	
sp|P42166|LAP2A_HUMAN	P42166	LAP2A_HUMAN	TMPO	694	Homo sapiens	1:Experimental evidence at protein level	Lamina-associated polypeptide 2, isoform alpha	1.0	0.999	10	64	30	64	3	5	5	15	12	24	0	0	0	5	7	18	3	5	5	15	12	24	75001.375	89914.19	48511.348	509406.06	545486.7	725140.06	52417.785	63840.547	48511.348	143502.55	143162.42	140468.53	
sp|P42224|STAT1_HUMAN	P42224	STAT1_HUMAN	STAT1	750	Homo sapiens	1:Experimental evidence at protein level	Signal transducer and activator of transcription 1-alpha/beta	0.9944	0.9981	1	3	3	3	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	20847.145	0.0	0.0	23183.26	13737.707	19786.305	20847.145	0.0	0.0	23183.26	13737.707	19786.305	
sp|P42696|RBM34_HUMAN	P42696	RBM34_HUMAN	RBM34	430	Homo sapiens	1:Experimental evidence at protein level	RNA-binding protein 34	1.0	0.9989	4	8	8	8	4	1	0	0	2	1	4	1	0	0	2	1	4	1	0	0	2	1	59295.96	12169.52	0.0	0.0	27751.305	26124.377	26367.627	12169.52	0.0	0.0	27751.305	26124.377	
sp|P42766|RL35_HUMAN	P42766	RL35_HUMAN	RPL35	123	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein uL29	1.0	0.999	7	33	33	33	4	4	3	6	5	11	4	4	3	6	5	11	4	4	3	6	5	11	117080.7	89751.34	134776.6	151157.95	182353.3	260987.8	74961.94	63819.258	86178.836	123692.17	94546.49	127294.8	
sp|P43243|MATR3_HUMAN	P43243	MATR3_HUMAN	MATR3	847	Homo sapiens	1:Experimental evidence at protein level	Matrin-3	1.0	0.999	4	18	18	18	4	3	2	3	3	3	4	3	2	3	3	3	4	3	2	3	3	3	52332.4	89545.73	63013.42	113177.78	65545.06	65638.9	30570.572	37976.406	35271.57	43374.062	37750.676	24784.627	
sp|P46013|KI67_HUMAN	P46013	KI67_HUMAN	MKI67	3256	Homo sapiens	1:Experimental evidence at protein level	Proliferation marker protein Ki-67	0.4795	0.9456	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	24284.412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P46776|RL27A_HUMAN	P46776	RL27A_HUMAN	RPL27A	148	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein uL15	1.0	0.9989	4	51	51	51	10	7	8	10	9	7	10	7	8	10	9	7	10	7	8	10	9	7	976085.3	988158.9	882135.2	1368913.9	821011.5	927642.9	894453.4	812555.3	927863.56	895625.2	672170.56	940029.4	
sp|P46778|RL21_HUMAN	P46778	RL21_HUMAN	RPL21	160	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL21	1.0	0.999	6	36	36	36	6	5	3	8	5	9	6	5	3	8	5	9	6	5	3	8	5	9	275903.6	173165.02	164980.58	342155.5	255400.38	229657.53	84624.35	71614.22	71559.63	97486.84	104087.18	96828.18	
sp|P46779|RL28_HUMAN	P46779	RL28_HUMAN	RPL28	137	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL28	1.0	0.999	6	49	49	49	9	8	6	9	7	10	9	8	6	9	7	10	9	8	6	9	7	10	410746.56	472532.72	343697.7	496563.16	368906.8	514828.12	191646.9	219923.38	173739.89	242902.7	214693.95	267496.0	
sp|P46781|RS9_HUMAN	P46781	RS9_HUMAN	RPS9	194	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS4	1.0	0.9982	5	19	19	19	5	1	5	2	1	5	5	1	5	2	1	5	5	1	5	2	1	5	90031.31	33530.965	83737.13	29382.877	24333.707	58254.258	29722.588	41786.19	36636.54	29135.371	24128.73	29451.754	
sp|P46782|RS5_HUMAN	P46782	RS5_HUMAN	RPS5	204	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS7	0.9814	0.999	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	38030.777	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P46783|RS10_HUMAN	P46783	RS10_HUMAN	RPS10	165	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein eS10	0.9367	0.9964	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	6398.8423	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P46940|IQGA1_HUMAN	P46940	IQGA1_HUMAN	IQGAP1	1657	Homo sapiens	1:Experimental evidence at protein level	Ras GTPase-activating-like protein IQGAP1	1.0	0.999	3	11	11	11	2	1	1	1	2	4	2	1	1	1	2	4	2	1	1	1	2	4	63129.887	56927.566	45029.66	67767.336	68830.16	98327.53	63129.887	56927.566	45029.66	67767.336	68830.16	66688.664	
sp|P47897|SYQ_HUMAN	P47897	SYQ_HUMAN	QARS1	775	Homo sapiens	1:Experimental evidence at protein level	Glutamine--tRNA ligase	1.0	0.999	11	37	37	37	5	4	5	4	9	10	5	4	5	4	9	10	5	4	5	4	9	10	86158.56	84456.58	93245.43	54925.95	156726.27	173639.48	38381.766	27073.238	24413.596	42420.727	42248.137	46409.168	
sp|P47914|RL29_HUMAN	P47914	RL29_HUMAN	RPL29	159	Homo sapiens	1:Experimental evidence at protein level	Large ribosomal subunit protein eL29	1.0	0.999	2	18	18	18	4	3	3	3	3	2	4	3	3	3	3	2	4	3	3	3	3	2	132760.2	84177.26	150960.97	249977.62	201486.73	255680.5	109259.26	84177.26	125142.19	192485.98	155706.6	202592.39	
sp|P47929|LEG7_HUMAN	P47929	LEG7_HUMAN	LGALS7	136	Homo sapiens	1:Experimental evidence at protein level	Galectin-7	1.0	0.9986	3	8	8	8	1	0	3	0	0	4	1	0	3	0	0	4	1	0	3	0	0	4	32554.701	0.0	81297.95	0.0	0.0	65049.465	32554.701	0.0	38290.848	0.0	0.0	35051.066	
sp|P48047|ATPO_HUMAN	P48047	ATPO_HUMAN	ATP5PO	213	Homo sapiens	1:Experimental evidence at protein level	ATP synthase peripheral stalk subunit OSCP, mitochondrial	0.9728	0.9985	1	8	8	8	1	3	1	1	1	1	1	3	1	1	1	1	1	3	1	1	1	1	30582.387	30873.695	23968.447	29394.45	31009.664	43487.547	30582.387	30873.695	23968.447	29394.45	31009.664	43487.547	
sp|P48426|PI42A_HUMAN	P48426	PI42A_HUMAN	PIP4K2A	406	Homo sapiens	1:Experimental evidence at protein level	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha	1.0	0.999	9	62	54	62	13	11	9	7	8	14	12	9	9	5	7	12	13	11	9	7	8	14	810942.56	746782.1	719250.1	714547.7	787413.3	844347.8	378037.6	306597.1	343694.78	385925.47	339899.47	349583.66	
sp|P48643|TCPE_HUMAN	P48643	TCPE_HUMAN	CCT5	541	Homo sapiens	1:Experimental evidence at protein level	T-complex protein 1 subunit epsilon	0.642	0.9713	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	25377.549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P48668|K2C6C_HUMAN	P48668	K2C6C_HUMAN	KRT6C	564	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 6C	0.999	0.9833	38	2	2	410	2	0	0	0	0	0	2	0	0	0	0	0	67	75	83	52	59	74	14760.151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P49411|EFTU_HUMAN	P49411	EFTU_HUMAN	TUFM	455	Homo sapiens	1:Experimental evidence at protein level	Elongation factor Tu, mitochondrial	0.9809	0.999	1	7	7	7	1	2	2	0	1	1	1	2	2	0	1	1	1	2	2	0	1	1	38441.938	39909.586	45607.137	0.0	41488.234	22229.76	38441.938	39909.586	45607.137	0.0	41488.234	22229.76	
sp|P49458|SRP09_HUMAN	P49458	SRP09_HUMAN	SRP9	86	Homo sapiens	1:Experimental evidence at protein level	Signal recognition particle 9 kDa protein	1.0	0.9989	4	50	50	50	9	8	10	6	7	10	9	8	10	6	7	10	9	8	10	6	7	10	715872.0	583346.6	516112.38	708269.4	753843.25	684714.44	617933.25	518562.84	451009.6	673618.1	539798.94	524630.8	
sp|P49711|CTCF_HUMAN	P49711	CTCF_HUMAN	CTCF	727	Homo sapiens	1:Experimental evidence at protein level	Transcriptional repressor CTCF	0.9718	0.9985	1	2	2	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0.0	0.0	0.0	0.0	8943.433	8165.993	0.0	0.0	0.0	0.0	8943.433	8165.993	
sp|P50416|CPT1A_HUMAN	P50416	CPT1A_HUMAN	CPT1A	773	Homo sapiens	1:Experimental evidence at protein level	Carnitine O-palmitoyltransferase 1, liver isoform	0.9729	0.9985	1	4	4	4	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	15826.19	19156.998	0.0	0.0	17268.543	18344.121	15826.19	19156.998	0.0	0.0	17268.543	18344.121	
sp|P50750|CDK9_HUMAN	P50750	CDK9_HUMAN	CDK9	372	Homo sapiens	1:Experimental evidence at protein level	Cyclin-dependent kinase 9	0.8978	0.994	1	2	2	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0.0	0.0	0.0	0.0	11864.384	13421.562	0.0	0.0	0.0	0.0	11864.384	13421.562	
sp|P50991|TCPD_HUMAN	P50991	TCPD_HUMAN	CCT4	539	Homo sapiens	1:Experimental evidence at protein level	T-complex protein 1 subunit delta	0.9971	0.9855	1	5	5	5	2	1	1	0	0	1	2	1	1	0	0	1	2	1	1	0	0	1	24802.818	22304.342	0.0	0.0	0.0	18146.033	24802.818	22304.342	0.0	0.0	0.0	18146.033	
sp|P51531|SMCA2_HUMAN	P51531	SMCA2_HUMAN	SMARCA2	1590	Homo sapiens	1:Experimental evidence at protein level	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2	0.9934	0.9719	1	4	0	4	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	10693.654	13131.73	11120.21	0.0	0.0	6845.7036	10693.654	13131.73	11120.21	0.0	0.0	6845.7036	sp|P51532|SMCA4_HUMAN
sp|P51608|MECP2_HUMAN	P51608	MECP2_HUMAN	MECP2	486	Homo sapiens	1:Experimental evidence at protein level	Methyl-CpG-binding protein 2	0.9808	0.999	1	18	18	18	3	2	3	4	3	3	3	2	3	4	3	3	3	2	3	4	3	3	23943.428	18005.94	20350.072	16603.43	13915.529	30875.139	23943.428	18005.94	20350.072	16603.43	13915.529	30875.139	
sp|P51825|AFF1_HUMAN	P51825	AFF1_HUMAN	AFF1	1210	Homo sapiens	1:Experimental evidence at protein level	AF4/FMR2 family member 1	0.6803	0.9757	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	11234.579	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P51991|ROA3_HUMAN	P51991	ROA3_HUMAN	HNRNPA3	378	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein A3	0.9999	0.999	1	19	19	19	3	4	4	3	1	4	3	4	4	3	1	4	3	4	4	3	1	4	30212.316	29445.672	20771.678	32789.055	18813.385	23776.441	30212.316	29445.672	20771.678	32789.055	18813.385	23776.441	
sp|P52272|HNRPM_HUMAN	P52272	HNRPM_HUMAN	HNRNPM	730	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein M	1.0	0.999	9	17	17	17	4	1	5	3	1	3	4	1	5	3	1	3	4	1	5	3	1	3	98130.07	23939.904	150275.62	83319.414	63331.6	95962.04	46206.523	23953.186	46423.06	31684.59	63366.74	49046.445	
sp|P52292|IMA1_HUMAN	P52292	IMA1_HUMAN	KPNA2	529	Homo sapiens	1:Experimental evidence at protein level	Importin subunit alpha-1	0.9772	0.9988	1	16	16	16	1	2	2	3	3	5	1	2	2	3	3	5	1	2	2	3	3	5	36995.188	38743.59	46693.06	30822.896	24521.27	24343.209	36995.188	38743.59	46693.06	30822.896	24521.27	24343.209	
sp|P52434|RPAB3_HUMAN	P52434	RPAB3_HUMAN	POLR2H	150	Homo sapiens	1:Experimental evidence at protein level	DNA-directed RNA polymerases I, II, and III subunit RPABC3	1.0	0.999	4	20	20	20	4	4	3	4	2	3	4	4	3	4	2	3	4	4	3	4	2	3	25466.82	27002.582	24485.29	32989.86	22123.518	56904.72	18085.01	18464.174	17200.9	17685.867	15712.183	18854.87	
sp|P52565|GDIR1_HUMAN	P52565	GDIR1_HUMAN	ARHGDIA	204	Homo sapiens	1:Experimental evidence at protein level	Rho GDP-dissociation inhibitor 1	0.597	0.9655	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	46946.99	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P52597|HNRPF_HUMAN	P52597	HNRPF_HUMAN	HNRNPF	415	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein F	0.9966	0.9961	3	7	7	34	0	0	2	4	1	0	0	0	2	4	1	0	6	5	3	11	4	5	0.0	0.0	75389.46	91361.6	125048.41	136852.7	0.0	0.0	75389.46	91361.6	125048.41	136852.7	
sp|P53804|TTC3_HUMAN	P53804	TTC3_HUMAN	TTC3	2025	Homo sapiens	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase TTC3	0.6133	0.9677	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	21973.117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P53999|TCP4_HUMAN	P53999	TCP4_HUMAN	SUB1	127	Homo sapiens	1:Experimental evidence at protein level	Activated RNA polymerase II transcriptional coactivator p15	0.9999	0.9984	2	8	8	8	1	0	1	2	3	1	1	0	1	2	3	1	1	0	1	2	3	1	14237.379	0.0	0.0	107554.91	0.0	15345.416	14237.379	0.0	0.0	107554.91	0.0	0.0	
sp|P54136|SYRC_HUMAN	P54136	SYRC_HUMAN	RARS1	660	Homo sapiens	1:Experimental evidence at protein level	Arginine--tRNA ligase, cytoplasmic	1.0	0.999	14	57	57	57	14	6	12	7	7	11	14	6	12	7	7	11	14	6	12	7	7	11	160898.19	149212.16	211125.89	153562.67	180788.67	322424.44	40523.76	50677.73	46761.344	55112.168	52295.918	48716.156	
sp|P55084|ECHB_HUMAN	P55084	ECHB_HUMAN	HADHB	474	Homo sapiens	1:Experimental evidence at protein level	Trifunctional enzyme subunit beta, mitochondrial	1.0	0.9983	3	15	15	15	1	3	4	3	1	3	1	3	4	3	1	3	1	3	4	3	1	3	61287.78	85954.91	71168.914	109349.74	68017.76	103747.836	61287.78	65133.574	54713.21	64340.926	68017.76	61021.58	
